Family,Major_Control,Sub-part,Title,Description,conlow,conmed,conhigh,integlow,integmed,integhigh,availlow,availmed,availhigh
ACCESS CONTROL,AC-3 (3),AC-3 (3)(c),MANDATORY ACCESS CONTROL,"Specifies that [Assignment: organization-defined subjects] may explicitly be granted [Assignment: organization-defined privileges (i.e., they are trusted subjects)] such that they are not limited by some or all of the above constraints.",,,,,,,,,
ACCESS CONTROL,AC-3 (4),AC-3 (4),DISCRETIONARY ACCESS CONTROL,The information system enforces [Assignment: organization-defined discretionary access control policy] over defined subjects and objects where the policy specifies that a subject that has been granted access to information can do one or more of the following:,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-3 (4),AC-3 (4)(a),DISCRETIONARY ACCESS CONTROL,Pass the  information to any other subjects or objects;,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-3 (4),AC-3 (4)(b),DISCRETIONARY ACCESS CONTROL,Grant its privileges to other subjects;,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-3 (4),AC-3 (4)(c),DISCRETIONARY ACCESS CONTROL,"Change security attributes on subjects, objects, the information system, or the information system's components;",+,+,+,+,+,+,,,
ACCESS CONTROL,AC-3 (4),AC-3 (4)(d),DISCRETIONARY ACCESS CONTROL,Choose the security attributes to be associated with newly created or revised objects; or,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-3 (4),AC-3 (4)(e),DISCRETIONARY ACCESS CONTROL,Change the rules governing access control.,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-3 (5),AC-3 (5),SECURITY-RELEVANT INFORMATION,"The information system prevents access to [Assignment: organization-defined security-relevant information] except during secure, non-operable system states.",,,,,,,,,
ACCESS CONTROL,AC-3 (6),AC-3 (6),PROTECTION OF USER AND SYSTEM INFORMATION,[Withdrawn: Incorporated into MP-4 and SC-28].,,,,,,,,,
ACCESS CONTROL,AC-3 (7),AC-3 (7),ROLE-BASED ACCESS CONTROL,The information system enforces a role-based access control policy over defined subjects and objects and controls access based upon [Assignment: organization-defined roles and users authorized to assume such roles].,,,,,,,,,
ACCESS CONTROL,AC-3 (8),AC-3 (8),REVOCATION OF ACCESS AUTHORIZATIONS,The information system enforces the revocation of access authorizations resulting from changes to the security attributes of subjects and objects based on [Assignment: organization-defined rules governing the timing of revocations of access authorizations].,,,,,,,,,
ACCESS CONTROL,AC-3 (9),AC-3 (9),CONTROLLED RELEASE,The information system does not release information outside of the established system boundary unless:,,,,,,,,,
ACCESS CONTROL,AC-3 (9),AC-3 (9)(a),CONTROLLED RELEASE,The receiving [Assignment: organization-defined information system or system component] provides [Assignment: organization-defined security safeguards]; and,,,,,,,,,
ACCESS CONTROL,AC-3 (9),AC-3 (9)(b),CONTROLLED RELEASE,[Assignment: organization-defined security safeguards] are used to validate the appropriateness of the information designated for release.,,,,,,,,,
ACCESS CONTROL,AC-3 (10),AC-3 (10),AUDITED OVERRIDE OF ACCESS CONTROL MECHANISMS,The organization employs an audited override of automated access control mechanisms under [Assignment: organization-defined conditions].,,,,,,,,,
ACCESS CONTROL,AC-4,AC-4,INFORMATION FLOW ENFORCEMENT,The information system enforces approved authorizations for controlling the flow of information within the system and between interconnected systems based on [Assignment: organization-defined information flow control policies].,,X,X,,X,X,,,
ACCESS CONTROL,AC-4 (1),AC-4 (1),OBJECT SECURITY ATTRIBUTES,"The information system uses [Assignment: organization-defined security attributes] associated with [Assignment: organization-defined information, source, and destination objects] to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.",,,,,,,,,
ACCESS CONTROL,AC-4 (2),AC-4 (2),PROCESSING DOMAINS,The information system uses protected processing domains to enforce [Assignment: organization-defined information flow control policies] as a basis for flow control decisions.,,,,,,,,,
ACCESS CONTROL,AC-4 (3),AC-4 (3),DYNAMIC INFORMATION FLOW CONTROL,The information system enforces dynamic information flow control based on [Assignment: organization-defined policies].,,,,,,,,,
ACCESS CONTROL,AC-4 (4),AC-4 (4),CONTENT CHECK ENCRYPTED INFORMATION,The information system prevents encrypted information from bypassing content-checking mechanisms by [Selection (one or more): decrypting the information; blocking the flow of the encrypted information; terminating communications sessions attempting to pass encrypted information; [Assignment: organization-defined procedure or method]].,,,,,,,,,
ACCESS CONTROL,AC-4 (5),AC-4 (5),EMBEDDED DATA TYPES,The information system enforces [Assignment: organization-defined limitations] on embedding data types within other data types.,,,,,,,,,
ACCESS CONTROL,AC-4 (6),AC-4 (6),METADATA,The information system enforces information flow control based on [Assignment: organization-defined metadata].,,,,,,,,,
ACCESS CONTROL,AC-4 (7),AC-4 (7),ONE-WAY FLOW MECHANISMS,The information system enforces [Assignment: organization-defined one-way information flows] using hardware mechanisms.,,,,,,,,,
ACCESS CONTROL,AC-4 (8),AC-4 (8),SECURITY POLICY FILTERS,The information system enforces information flow control using [Assignment: organization-defined security policy filters] as a basis for flow control decisions for [Assignment: organization-defined information flows].,,,,,,,,,
ACCESS CONTROL,AC-4 (9),AC-4 (9),HUMAN REVIEWS,The information system enforces the use of human reviews for [Assignment: organization-defined information flows] under the following conditions: [Assignment: organization-defined conditions].,,,,,,,,,
ACCESS CONTROL,AC-4 (10),AC-4 (10),ENABLE / DISABLE SECURITY POLICY FILTERS,The information system provides the capability for privileged administrators to enable/disable [Assignment: organization-defined security policy filters] under the following conditions: [Assignment: organization-defined conditions].,,,,,,,,,
ACCESS CONTROL,AC-4 (11),AC-4 (11),CONFIGURATION OF SECURITY POLICY FILTERS,The information system provides the capability for privileged administrators to configure [Assignment: organization-defined security policy filters] to support different security policies.,,,,,,,,,
ACCESS CONTROL,AC-4 (12),AC-4 (12),DATA TYPE IDENTIFIERS,"The information system, when transferring information between different security domains, uses [Assignment: organization-defined data type identifiers] to validate data essential for information flow decisions.",,,,,,,,,
ACCESS CONTROL,AC-4 (13),AC-4 (13),DECOMPOSITION INTO POLICY-RELEVANT SUBCOMPONENTS,"The information system, when transferring information between different security domains, decomposes information into [Assignment: organization-defined policy-relevant subcomponents] for submission to policy enforcement mechanisms.",,,,,,,,,
ACCESS CONTROL,AC-4 (14),AC-4 (14),SECURITY POLICY FILTER CONSTRAINTS,"The information system, when transferring information between different security domains, implements [Assignment: organization-defined security policy filters] requiring fully enumerated formats that restrict data structure and content.",,,,,,,,,
ACCESS CONTROL,AC-4 (15),AC-4 (15),DETECTION OF UNSANCTIONED INFORMATION,"The information system, when transferring information between different security domains, examines the information for the presence of [Assignment: organized-defined unsanctioned information] and prohibits the transfer of such information in accordance with the [Assignment: organization-defined security policy].",,,,,,,,,
ACCESS CONTROL,AC-4 (16),AC-4 (16),INFORMATION TRANSFERS ON INTERCONNECTED SYSTEMS,[Withdrawn: Incorporated into AC-4].,,,,,,,,,
ACCESS CONTROL,AC-4 (17),AC-4 (17),DOMAIN AUTHENTICATION,"The information system uniquely identifies and authenticates source and destination points by [Selection (one or more): organization, system, application, individual] for information transfer.",,,,,,,,,
ACCESS CONTROL,AC-4 (18),AC-4 (18),SECURITY ATTRIBUTE BINDING,The information system binds security attributes to information using [Assignment: organization-defined binding techniques] to facilitate information flow policy enforcement.,,,,,,,,,
ACCESS CONTROL,AC-4 (19),AC-4 (19),VALIDATION OF METADATA,"The information system, when transferring information between different security domains, applies the same security policy filtering to metadata as it applies to data payloads.",,,,,,,,,
ACCESS CONTROL,AC-4 (20),AC-4 (20),APPROVED SOLUTIONS,The organization employs [Assignment: organization-defined solutions in approved configurations] to control the flow of [Assignment: organization-defined information] across security domains.,,,,,,,,,
ACCESS CONTROL,AC-4 (21),AC-4 (21),PHYSICAL / LOGICAL SEPARATION OF INFORMATION FLOWS,The information system separates information flows logically or physically using [Assignment: organization-defined mechanisms and/or techniques] to accomplish [Assignment: organization-defined required separations by types of information].,,,,,,,,,
ACCESS CONTROL,AC-4 (22),AC-4 (22),ACCESS ONLY,"The information system provides access from a single device to computing platforms, applications, or data residing on multiple different security domains, while preventing any information flow between the different security domains.",,,,,,,,,
ACCESS CONTROL,AC-5,AC-5,SEPARATION OF DUTIES,The organization:,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-5,AC-5a,SEPARATION OF DUTIES,Separates [Assignment: organization-defined duties of individuals];,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-5,AC-5b,SEPARATION OF DUTIES,Documents separation of duties of individuals; and,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-5,AC-5c,SEPARATION OF DUTIES,Defines information system access authorizations to support separation of duties.,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-6,AC-6,LEAST PRIVILEGE,"The organization employs the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) which are necessary to accomplish assigned tasks in accordance with organizational missions and business functions.",+,X,X,+,X,X,,,
ACCESS CONTROL,AC-6 (1),AC-6 (1),AUTHORIZE ACCESS TO SECURITY FUNCTIONS,"The organization explicitly authorizes access to [Assignment: organization-defined security functions (deployed in hardware, software, and firmware) and security-relevant information].",+,X,X,+,X,X,,,
ACCESS CONTROL,AC-6 (2),AC-6 (2),NON-PRIVILEGED ACCESS FOR NONSECURITY FUNCTIONS,"The organization requires that users of information system accounts, or roles, with access to [Assignment: organization-defined security functions or security-relevant information], use non-privileged accounts or roles, when accessing nonsecurity functions.",+,X,X,+,X,X,,,
ACCESS CONTROL,AC-6 (3),AC-6 (3),NETWORK ACCESS TO PRIVILEGED COMMANDS,The organization authorizes network access to [Assignment: organization-defined privileged commands] only for [Assignment: organization-defined compelling operational needs] and documents the rationale for such access in the security plan for the information system.,,,X,,,X,,,
ACCESS CONTROL,AC-6 (4),AC-6 (4),SEPARATE PROCESSING DOMAINS,The information system provides separate processing domains to enable finer-grained allocation of user privileges.,,,,,,,,,
ACCESS CONTROL,AC-6 (5),AC-6 (5),PRIVILEGED ACCOUNTS,The organization restricts privileged accounts on the information system to [Assignment: organization-defined personnel or roles].,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-6 (6),AC-6 (6),PRIVILEGED ACCESS BY NON-ORGANIZATIONAL USERS,The organization prohibits privileged access to the information system by non-organizational users.,,,,,,,,,
ACCESS CONTROL,AC-6 (7),AC-6 (7),REVIEW OF USER PRIVILEGES,The organization:,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-6 (7),AC-6 (7)(a),REVIEW OF USER PRIVILEGES,Reviews [Assignment: organization-defined frequency] the privileges assigned to [Assignment: organization-defined roles or classes of users] to validate the need for such privileges; and,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-6 (7),AC-6 (7)(b),REVIEW OF USER PRIVILEGES,"Reassigns or removes privileges, if necessary, to correctly reflect organizational mission/business needs.",+,+,+,+,+,+,,,
ACCESS CONTROL,AC-6 (8),AC-6 (8),PRIVILEGE LEVELS FOR CODE EXECUTION,The information system prevents [Assignment: organization-defined software] from executing at higher privilege levels than users executing the software.,+,+,+,+,+,+,,,
ACCESS CONTROL,AC-6 (9),AC-6 (9),AUDITING USE OF PRIVILEGED FUNCTIONS,The information system audits the execution of privileged functions.,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-6 (10),AC-6 (10),PROHIBIT NON-PRIVILEGED USERS FROM EXECUTING PRIVILEGED FUNCTIONS,"The information system prevents non-privileged users from executing privileged functions to include disabling, circumventing, or altering implemented security safeguards/countermeasures.",+,X,X,+,X,X,,,
ACCESS CONTROL,AC-7,AC-7,UNSUCCESSFUL LOGON ATTEMPTS,The information system:,X,X,X,X,X,X,X,X,X
ACCESS CONTROL,AC-7,AC-7a,UNSUCCESSFUL LOGON ATTEMPTS,Enforces a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period]; and,X,X,X,X,X,X,X,X,X
ACCESS CONTROL,AC-7,AC-7b,UNSUCCESSFUL LOGON ATTEMPTS,Automatically [Selection: locks the account/node for an [Assignment: organization-defined time period]; locks the account/node until released by an administrator; delays next logon prompt according to [Assignment: organization-defined delay algorithm]] when the maximum number of unsuccessful attempts is exceeded.,X,X,X,X,X,X,X,X,X
ACCESS CONTROL,AC-7 (1),AC-7 (1),AUTOMATIC ACCOUNT LOCK,[Withdrawn: Incorporated into AC-7].,,,,,,,,,
ACCESS CONTROL,AC-7 (2),AC-7 (2),PURGE / WIPE MOBILE DEVICE,"The information system purges/wipes information from [Assignment: organization-defined mobile devices] based on [Assignment: organization-defined purging/wiping requirements/techniques] after [Assignment: organization-defined number] consecutive, unsuccessful device logon attempts.",,,,,,,,,
ACCESS CONTROL,AC-8,AC-8,SYSTEM USE NOTIFICATION,The information system:,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-8,AC-8a,SYSTEM USE NOTIFICATION,"Displays to users [Assignment: organization-defined system use notification message or banner] before granting access to the system that provides privacy and security notices consistent with applicable federal laws, Executive Orders, directives, policies, regulations, standards, and guidance and states that:",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-8,AC-8a.1,SYSTEM USE NOTIFICATION,Users are accessing a U.S. Government information system;,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-8,AC-8a.2,SYSTEM USE NOTIFICATION,"Information system usage may be monitored, recorded, and subject to audit;",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-8,AC-8a.3,SYSTEM USE NOTIFICATION,Unauthorized use of the information system is prohibited and subject to criminal and civil penalties; and,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-8,AC-8a.4,SYSTEM USE NOTIFICATION,Use of the information system indicates consent to monitoring and recording;,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-8,AC-8b,SYSTEM USE NOTIFICATION,Retains the notification message or banner on the screen until users acknowledge the usage conditions and take explicit actions to log on to or further access the information system; and,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-8,AC-8c,SYSTEM USE NOTIFICATION,For publicly accessible systems:,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-8,AC-8c.1,SYSTEM USE NOTIFICATION,"Displays system use information [Assignment: organization-defined conditions], before granting further access;",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-8,AC-8c.2,SYSTEM USE NOTIFICATION,"Displays references, if any, to monitoring, recording, or auditing that are consistent with privacy accommodations for such systems that generally prohibit those activities; and",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-8,AC-8c.3,SYSTEM USE NOTIFICATION,Includes a description of the authorized uses of the system.,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-9,AC-9,PREVIOUS LOGON (ACCESS) NOTIFICATION,"The information system notifies the user, upon successful logon (access) to the system, of the date and time of the last logon (access).",,,,,,,,,
ACCESS CONTROL,AC-9 (1),AC-9 (1),UNSUCCESSFUL LOGONS,"The information system notifies the user, upon successful logon/access, of the number of unsuccessful logon/access attempts since the last successful logon/access.",,,,,,,,,
ACCESS CONTROL,AC-9 (2),AC-9 (2),SUCCESSFUL / UNSUCCESSFUL LOGONS,The information system notifies the user of the number of [Selection: successful logons/accesses; unsuccessful logon/access attempts; both] during [Assignment: organization-defined time period].,,,,,,,,,
ACCESS CONTROL,AC-9 (3),AC-9 (3),NOTIFICATION OF ACCOUNT CHANGES,The information system notifies the user of changes to [Assignment: organization-defined security-related characteristics/parameters of the user�s account] during [Assignment: organization-defined time period].,,,,,,,,,
ACCESS CONTROL,AC-9 (4),AC-9 (4),ADDITIONAL LOGON INFORMATION,"The information system notifies the user, upon successful logon (access), of the following additional information: [Assignment: organization-defined information to be included in addition to the date and time of the last logon (access)].",,,,,,,,,
ACCESS CONTROL,AC-10,AC-10,CONCURRENT SESSION CONTROL,The information system limits the number of concurrent sessions for each [Assignment: organization-defined account and/or account type] to [Assignment: organization-defined number].,,+,X,,+,X,,+,X
ACCESS CONTROL,AC-11,AC-11,SESSION LOCK,The information system:,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-11,AC-11a,SESSION LOCK,Prevents further access to the system by initiating a session lock after [Assignment: organization-defined time period] of inactivity or upon receiving a request from a user; and,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-11,AC-11b,SESSION LOCK,Retains the session lock until the user reestablishes access using established identification and authentication procedures.,+,X,X,+,X,X,,,
ACCESS CONTROL,AC-11 (1),AC-11 (1),PATTERN-HIDING DISPLAYS,"The information system conceals, via the session lock, information previously visible on the display with a publicly viewable image.",+,X,X,,,,,,
ACCESS CONTROL,AC-12,AC-12,SESSION TERMINATION,The information system automatically terminates a user session after [Assignment: organization-defined conditions or trigger events requiring session disconnect].,,X,X,,X,X,,,
ACCESS CONTROL,AC-12 (1),AC-12 (1),USER-INITIATED LOGOUTS / MESSAGE DISPLAYS,The information system:,,+,+,,+,+,,,
ACCESS CONTROL,AC-12 (1),AC-12 (1)(a),USER-INITIATED LOGOUTS / MESSAGE DISPLAYS,Provides a logout capability for user-initiated communications sessions whenever authentication is used to gain access to [Assignment: organization-defined information resources]; and,,+,+,,+,+,,,
ACCESS CONTROL,AC-12 (1),AC-12 (1)(b),USER-INITIATED LOGOUTS / MESSAGE DISPLAYS,Displays an explicit logout message to users indicating the reliable termination of authenticated communications sessions.,,+,+,,+,+,,,
ACCESS CONTROL,AC-13,AC-13,SUPERVISION AND REVIEW - ACCESS CONTROL,[Withdrawn: Incorporated into AC-2 and AU-6].,,,,,,,,,
ACCESS CONTROL,AC-14,AC-14,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,The organization:,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-14,AC-14a,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,Identifies [Assignment: organization-defined user actions] that can be performed on the information system without identification or authentication consistent with organizational missions/business functions; and,X,X,X,X,X,X,,,
ACCESS CONTROL,AC-14,AC-14b,PERMITTED ACTIONS WITHOUT IDENTIFICATION OR AUTHENTICATION,"Documents and provides supporting rationale in the security plan for the information system, user actions not requiring identification or authentication.",X,X,X,X,X,X,,,
ACCESS CONTROL,AC-14 (1),AC-14 (1),NECESSARY USES,[Withdrawn: Incorporated into AC-14].,,,,,,,,,
ACCESS CONTROL,AC-15,AC-15,AUTOMATED MARKING,[Withdrawn: Incorporated into MP-3].,,,,,,,,,
ACCESS CONTROL,AC-16,AC-16,SECURITY ATTRIBUTES,The organization:,,+,+,,+,+,,,
ACCESS CONTROL,AC-16,AC-16a,SECURITY ATTRIBUTES,"Provides the means to associate [Assignment: organization-defined types of security attributes] having [Assignment: organization-defined security attribute values] with information in storage, in process, and/or in transmission;",,+,+,,+,+,,,
